t,strain,damage,stress,temperature
0.0,3.082820783640959e-22,4.9508418206589466e-46,157.37500154429847,902.6191136965147
1.0,-2.495080058378351e-23,2.6923289939947592e-46,157.37500154429847,902.6191136965147
2.0,9.542945522879356e-23,4.992687739423417e-46,157.37500154429847,902.6191136965147
3.0,2.9404926912952295e-22,-2.7562716796135907e-46,157.37500154429847,902.6191136965147
4.0,3.6497381678780035e-22,1.749788842820645e-47,157.37500154429847,902.6191136965147
5.0,1.7247837431218987e-22,-3.774767602458749e-47,157.37500154429847,902.6191136965147
6.0,9.940117438606408e-22,-4.537760554361502e-46,157.37500154429847,902.6191136965147
7.0,9.540969159520803e-22,1.1580800959574155e-46,157.37500154429847,902.6191136965147
8.0,-6.2147985046001935e-22,-1.599096944194569e-46,157.37500154429847,902.6191136965147
9.0,4.4380816501944945e-22,2.9900032119296435e-46,157.37500154429847,902.6191136965147
10.0,5.30109028284019e-22,-4.111318485832155e-46,157.37500154429847,902.6191136965147
11.0,9.669409433747425e-22,-3.9961999663383634e-46,157.37500154429847,902.6191136965147
12.0,-3.894051997943506e-23,-3.0208548403306704e-46,157.37500154429847,902.6191136965147
13.0,4.0257540566483737e-22,2.332278876242914e-46,157.37500154429847,902.6191136965147
14.0,9.337536082740623e-22,1.2349893166603323e-46,157.37500154429847,902.6191136965147
15.0,2.2724284056004054e-22,-2.0406501646562324e-46,157.37500154429847,902.6191136965147
16.0,5.672395203993638e-22,-1.3336034905152986e-46,157.37500154429847,902.6191136965147
17.0,5.416667020677759e-22,8.810175560120767e-47,157.37500154429847,902.6191136965147
18.0,7.710569855984182e-22,-1.157406792120739e-46,157.37500154429847,902.6191136965147
19.0,4.583711503669092e-22,4.964377996031282e-47,157.37500154429847,902.6191136965147
20.0,9.606416338043094e-22,5.78709521090034e-47,157.37500154429847,902.6191136965147
21.0,7.411328634607296e-22,-7.721164929203108e-47,157.37500154429847,902.6191136965147
22.0,9.39026749533809e-22,-3.4843727706310904e-46,157.37500154429847,902.6191136965147
23.0,1.045587134880921e-21,-1.8860111668938154e-46,157.37500154429847,902.6191136965147
24.0,9.675349169335585e-22,8.603923448860193e-47,157.37500154429847,902.6191136965147
25.0,2.8204025172942e-22,2.14811872966629e-46,157.37500154429847,902.6191136965147
26.0,1.5787183563060658e-21,2.4403394350038634e-46,157.37500154429847,902.6191136965147
27.0,1.1001210068587987e-21,-1.970448429446748e-47,157.37500154429847,902.6191136965147
28.0,1.3565194515085165e-21,2.820676867422932e-46,157.37500154429847,902.6191136965147
29.0,1.5649951303793765e-21,-1.9237588748058413e-46,157.37500154429847,902.6191136965147
30.0,1.4348190782517327e-21,3.3766467924778348e-46,157.37500154429847,902.6191136965147
31.0,1.6418299056392934e-21,-4.869258923201772e-47,157.37500154429847,902.6191136965147
32.0,9.318962214747865e-22,3.0356733866285344e-47,157.37500154429847,902.6191136965147
33.0,1.1037406222779336e-21,1.3053191621725727e-46,157.37500154429847,902.6191136965147
34.0,6.832894084389899e-22,5.6489922012028414e-46,157.37500154429847,902.6191136965147
35.0,1.283630245000618e-21,-1.6787934306129931e-46,157.37500154429847,902.6191136965147
36.0,7.141153277020891e-22,-4.001824186442922e-47,157.37500154429847,902.6191136965147
37.0,1.0012808720332784e-21,1.3418039560636988e-46,157.37500154429847,902.6191136965147
38.0,1.1763148936951074e-21,6.937343999738543e-47,157.37500154429847,902.6191136965147
39.0,8.922432248062404e-22,2.6383179440154003e-46,157.37500154429847,902.6191136965147
40.0,8.845957342222156e-22,4.11183917012387e-47,157.37500154429847,902.6191136965147
41.0,1.4832683548598443e-21,3.5417507951615627e-47,157.37500154429847,902.6191136965147
42.0,1.3987364080832386e-21,7.305717375416908e-47,157.37500154429847,902.6191136965147
43.0,2.195747416200679e-21,5.780357876649989e-46,157.37500154429847,902.6191136965147
44.0,1.2642531974341756e-21,1.5950816576341467e-46,157.37500154429847,902.6191136965147
45.0,1.254444561043192e-21,5.353605890549233e-47,157.37500154429847,902.6191136965147
46.0,1.7431769131484827e-21,2.2038442379843073e-46,157.37500154429847,902.6191136965147
48.0,1.1062836793305137e-21,-1.9825927983014794e-46,157.37500154429847,902.6191136965147
49.0,1.8035089257247525e-21,-8.12710109716374e-47,157.37500154429847,902.6191136965147
50.0,8.305955502915042e-22,-9.924859057522622e-47,157.37500154429847,902.6191136965147
51.0,1.509841548702042e-21,2.487432370716409e-46,157.37500154429847,902.6191136965147
52.0,1.451873003220104e-21,-1.0731221692913098e-46,157.37500154429847,902.6191136965147
53.0,1.6423276083691207e-21,-2.573585533914069e-47,157.37500154429847,902.6191136965147
54.0,1.7684892841823243e-21,1.6696970897181328e-46,157.37500154429847,902.6191136965147
55.0,1.4482601575323083e-21,7.46609136483083e-47,157.37500154429847,902.6191136965147
56.0,1.792303851250374e-21,3.491499486246087e-46,157.37500154429847,902.6191136965147
57.0,1.8230000366098875e-21,-5.772590496451074e-46,157.37500154429847,902.6191136965147
58.0,1.6614970651037874e-21,-1.6363220622021717e-46,157.37500154429847,902.6191136965147
59.0,1.8742761119304457e-21,-2.0718995150197624e-46,157.37500154429847,902.6191136965147
60.0,2.1312695829319677e-21,-6.216533042669609e-46,157.37500154429847,902.6191136965147
61.0,2.0321305835193905e-21,7.806107026175471e-47,157.37500154429847,902.6191136965147
62.0,1.0108129953187717e-21,5.646076990868814e-46,157.37500154429847,902.6191136965147
63.0,2.6929545258800043e-21,9.320424948409758e-46,157.37500154429847,902.6191136965147
64.0,1.6622095585532632e-21,2.3793648546244116e-46,157.37500154429847,902.6191136965147
65.0,1.921591764705184e-21,2.356869541986804e-46,157.37500154429847,902.6191136965147
66.0,1.7859866602075773e-21,-4.749542918187238e-48,157.37500154429847,902.6191136965147
67.0,1.9348350199180053e-21,9.95031339469078e-49,157.37500154429847,902.6191136965147
68.0,1.9891927914574986e-21,-1.6741177125062886e-46,157.37500154429847,902.6191136965147
69.0,2.191734632294002e-21,-7.270179166466592e-47,157.37500154429847,902.6191136965147
70.0,2.3970325941782016e-21,2.3174325363520246e-46,157.37500154429847,902.6191136965147
71.0,1.3317911322505617e-21,8.664815068432404e-47,157.37500154429847,902.6191136965147
73.0,1.9934245283801843e-21,2.5679680133137728e-46,157.37500154429847,902.6191136965147
74.0,1.6026904480072411e-21,3.4110061335264103e-46,157.37500154429847,902.6191136965147
75.0,2.28158947499116e-21,-8.672226167461226e-47,157.37500154429847,902.6191136965147
76.0,2.1999399583020494e-21,1.5833212176838316e-46,157.37500154429847,902.6191136965147
77.0,2.2827641072306126e-21,1.2510288984222253e-46,157.37500154429847,902.6191136965147
78.0,2.56138588821227e-21,-1.4819396396374948e-46,157.37500154429847,902.6191136965147
79.0,2.0365055964923372e-21,6.260686841049883e-46,157.37500154429847,902.6191136965147
80.0,2.1697515326372547e-21,4.631573401623275e-46,157.37500154429847,902.6191136965147
81.0,2.2160283118710415e-21,3.448690315701011e-46,157.37500154429847,902.6191136965147
82.0,2.4074265331737684e-21,3.4385681438845165e-46,157.37500154429847,902.6191136965147
83.0,2.8116968616488212e-21,5.26088125858247e-46,157.37500154429847,902.6191136965147
84.0,1.6185769295321803e-21,2.560441102423004e-46,157.37500154429847,902.6191136965147
85.0,2.17804104351301e-21,1.7808243775771156e-46,157.37500154429847,902.6191136965147
86.0,1.851866103725824e-21,7.941319049296613e-47,157.37500154429847,902.6191136965147
87.0,2.694677670641427e-21,6.905140953777685e-46,157.37500154429847,902.6191136965147
88.0,2.3705812344400816e-21,2.490274017878998e-46,157.37500154429847,902.6191136965147
89.0,3.1998412736745202e-21,3.8452300015862126e-46,157.37500154429847,902.6191136965147
90.0,2.516921913610641e-21,7.748354673764735e-46,157.37500154429847,902.6191136965147
91.0,2.0257153610877307e-21,4.077147791512495e-46,157.37500154429847,902.6191136965147
92.0,2.7591226549012003e-21,5.207866837823417e-46,157.37500154429847,902.6191136965147
94.0,2.9845508821582415e-21,8.222291430475546e-46,157.37500154429847,902.6191136965147
