t,strain,damage,stress,temperature
0.0,-2.1906827394134647e-20,-1.9802890995558244e-43,88.65806253554165,935.3666811108945
1.0,-8.616688985929674e-21,-1.984035326257508e-43,88.65806253554165,935.3666811108945
2.0,1.0680326745113512e-20,9.481896146997699e-44,88.65806253554165,935.3666811108945
3.0,7.03294592184993e-22,-4.455400485300511e-43,88.65806253554165,935.3666811108945
4.0,2.3501625118438112e-20,-3.9864840591384683e-44,88.65806253554165,935.3666811108945
5.0,-8.361316515075899e-21,-8.041635708686801e-44,88.65806253554165,935.3666811108945
6.0,2.9115035907034832e-21,-2.1625494957780356e-44,88.65806253554165,935.3666811108945
7.0,6.549799983840269e-21,3.6906217654185503e-44,88.65806253554165,935.3666811108945
8.0,2.346416509060502e-22,-8.098830127283828e-44,88.65806253554165,935.3666811108945
9.0,-6.468955405883457e-22,-1.91886634009404e-43,88.65806253554165,935.3666811108945
10.0,3.0028468222302592e-21,1.929490571899635e-43,88.65806253554165,935.3666811108945
11.0,1.5912789508342104e-20,-1.3795100838808693e-43,88.65806253554165,935.3666811108945
12.0,9.031249425239062e-21,7.780959610010546e-44,88.65806253554165,935.3666811108945
13.0,-3.643999266414876e-21,4.60478583679861e-43,88.65806253554165,935.3666811108945
14.0,3.0601992203368377e-21,-8.812749795192952e-44,88.65806253554165,935.3666811108945
15.0,-3.866358775333954e-21,-3.70141301321817e-43,88.65806253554165,935.3666811108945
16.0,4.394921230376183e-22,-1.362973191757759e-43,88.65806253554165,935.3666811108945
17.0,1.240752329411195e-20,-3.3654601738572963e-43,88.65806253554165,935.3666811108945
18.0,5.164824444497204e-21,-2.1288716031167653e-43,88.65806253554165,935.3666811108945
19.0,-4.226527785900248e-21,-3.707101042765303e-43,88.65806253554165,935.3666811108945
20.0,2.3536805330517553e-20,3.122635523473695e-43,88.65806253554165,935.3666811108945
21.0,1.7586272991161092e-20,1.3563484290126427e-43,88.65806253554165,935.3666811108945
22.0,-6.031054315327309e-21,3.423831976945973e-43,88.65806253554165,935.3666811108945
23.0,-3.1405613145381757e-21,8.80683235211629e-44,88.65806253554165,935.3666811108945
24.0,8.218946763600613e-21,6.391261360057182e-44,88.65806253554165,935.3666811108945
25.0,1.0120411151921565e-20,-2.0408158648452514e-43,88.65806253554165,935.3666811108945
26.0,-1.1478329971915581e-20,-3.2081590677450027e-43,88.65806253554165,935.3666811108945
27.0,1.5766215643513526e-20,1.5123581118714581e-43,88.65806253554165,935.3666811108945
28.0,3.224609114390197e-21,-1.1203957693967849e-43,88.65806253554165,935.3666811108945
29.0,4.9507600497036175e-21,-2.3251258696495463e-43,88.65806253554165,935.3666811108945
30.0,2.1871264899128548e-20,-2.057584000310667e-43,88.65806253554165,935.3666811108945
31.0,6.550076877429975e-21,-4.0971364882327084e-44,88.65806253554165,935.3666811108945
32.0,1.874039141222791e-20,-2.1141148925674382e-44,88.65806253554165,935.3666811108945
33.0,3.91082333326079e-21,-4.1027265925746095e-43,88.65806253554165,935.3666811108945
34.0,1.4938254673092216e-20,-4.052617854171273e-44,88.65806253554165,935.3666811108945
35.0,2.0296562938995742e-20,3.676509310130433e-43,88.65806253554165,935.3666811108945
36.0,-1.7390543701646057e-21,-2.7886111898759914e-43,88.65806253554165,935.3666811108945
37.0,3.9891449669417286e-20,-1.4371757158641416e-43,88.65806253554165,935.3666811108945
38.0,1.5089693113763813e-20,-2.108249728333862e-43,88.65806253554165,935.3666811108945
39.0,9.11321938679072e-21,3.594713845088049e-43,88.65806253554165,935.3666811108945
40.0,-9.046579512183368e-22,2.6566380708979172e-43,88.65806253554165,935.3666811108945
41.0,7.493076098435844e-21,9.12835681114297e-44,88.65806253554165,935.3666811108945
42.0,2.0789698529217037e-20,8.508089459694539e-44,88.65806253554165,935.3666811108945
43.0,7.8615310516154e-21,-2.0225684594254958e-43,88.65806253554165,935.3666811108945
44.0,1.5790676227519932e-20,3.5642421758559516e-43,88.65806253554165,935.3666811108945
45.0,1.6520664981510926e-20,-3.3565159092824967e-44,88.65806253554165,935.3666811108945
46.0,1.2637920380634129e-20,3.120466674996964e-43,88.65806253554165,935.3666811108945
47.0,1.6452774975247896e-20,-3.671253666843054e-44,88.65806253554165,935.3666811108945
