t,strain,damage,stress,temperature
-0.11243571176233934,-1.9225054715938416e-22,-5.6937452596781924e-46,120.80545606199966,945.9231584749024
1.1191385876587534,2.1353004025744416e-21,-2.486102755774158e-45,120.80545606199966,945.9231584749024
1.5494555288034806,-9.826123387816214e-23,2.2795876617138162e-45,120.80545606199966,945.9231584749024
3.0696867388891813,1.4070870433174036e-21,-3.1032061367328693e-46,120.80545606199966,945.9231584749024
4.244419882326092,1.115517231097331e-21,-6.437146139060955e-46,120.80545606199966,945.9231584749024
4.843268076520073,1.381824710706426e-21,-8.471390124373653e-46,120.80545606199966,945.9231584749024
6.204485544950048,7.6695931462604565e-22,2.79095123991984e-45,120.80545606199966,945.9231584749024
7.029643384813686,4.933544577882119e-22,6.955943500027457e-45,120.80545606199966,945.9231584749024
7.626632477933354,-5.523111602870792e-22,6.2276674184893806e-46,120.80545606199966,945.9231584749024
9.152534122410524,-5.083461174214425e-22,3.84122704861446e-45,120.80545606199966,945.9231584749024
10.186885224839118,1.0442810641778068e-21,9.086486917075719e-46,120.80545606199966,945.9231584749024
11.101390919774795,3.396219942292283e-21,-4.7194730905808447e-45,120.80545606199966,945.9231584749024
12.203014050023725,1.21629682617416e-21,-1.5729865466606267e-45,120.80545606199966,945.9231584749024
12.865272022929263,1.4331913449164651e-21,1.596003521597296e-46,120.80545606199966,945.9231584749024
13.576395360785732,-1.6866010145700128e-22,2.0886713997072926e-45,120.80545606199966,945.9231584749024
15.044020600822261,-1.2489675760023701e-23,2.612253760208777e-46,120.80545606199966,945.9231584749024
16.112968133910275,5.330145553203295e-22,-7.890510366693885e-45,120.80545606199966,945.9231584749024
18.082965383416983,1.9532172120509686e-21,1.7441265589343342e-45,120.80545606199966,945.9231584749024
19.0963440971043,1.3146537010284159e-21,-1.622662600454432e-45,120.80545606199966,945.9231584749024
20.184818180250414,1.568172280118676e-21,-3.7219753709479714e-45,120.80545606199966,945.9231584749024
21.094136131821347,2.5971083184817635e-22,1.0841846564441938e-45,120.80545606199966,945.9231584749024
21.976594419977225,1.373659343165011e-21,1.625426547652844e-45,120.80545606199966,945.9231584749024
23.106041533748456,1.4082460764063984e-21,-5.4988885773663937e-45,120.80545606199966,945.9231584749024
23.97023245361225,9.220920647141622e-22,-3.49884999783075e-45,120.80545606199966,945.9231584749024
25.005032297058623,1.640847091739122e-21,-4.3440217459025226e-45,120.80545606199966,945.9231584749024
